Time,ParameterName,ParameterValue
2022-12-01T11:00:00Z,WAWA_PT1H_RANK,NaN
2022-12-01T12:00:00Z,TA_PT1H_AVG,-2.0
2022-12-01T12:00:00Z,TA_PT1H_MAX,-1.9
2022-12-01T12:00:00Z,TA_PT1H_MIN,-2.1
2022-12-01T12:00:00Z,RH_PT1H_AVG,96.0
2022-12-01T12:00:00Z,WS_PT1H_AVG,0.8
2022-12-01T12:00:00Z,WS_PT1H_MAX,1.0
2022-12-01T12:00:00Z,WS_PT1H_MIN,0.5
2022-12-01T12:00:00Z,WD_PT1H_AVG,262.0
2022-12-01T12:00:00Z,PRA_PT1H_ACC,NaN
2022-12-01T12:00:00Z,PRI_PT1H_MAX,NaN
2022-12-01T12:00:00Z,PA_PT1H_AVG,1040.2
2022-12-01T12:00:00Z,WAWA_PT1H_RANK,NaN
2022-12-01T13:00:00Z,TA_PT1H_AVG,-2.0
2022-12-01T13:00:00Z,TA_PT1H_MAX,-1.9
2022-12-01T13:00:00Z,TA_PT1H_MIN,-2.2
2022-12-01T13:00:00Z,RH_PT1H_AVG,95.0
2022-12-01T13:00:00Z,WS_PT1H_AVG,1.2
2022-12-01T13:00:00Z,WS_PT1H_MAX,1.5
2022-12-01T13:00:00Z,WS_PT1H_MIN,0.8
2022-12-01T13:00:00Z,WD_PT1H_AVG,334.0
2022-12-01T13:00:00Z,PRA_PT1H_ACC,NaN
2022-12-01T13:00:00Z,PRI_PT1H_MAX,NaN
2022-12-01T13:00:00Z,PA_PT1H_AVG,1040.3
2022-12-01T13:00:00Z,WAWA_PT1H_RANK,NaN
2022-12-01T14:00:00Z,TA_PT1H_AVG,-2.2
2022-12-01T14:00:00Z,TA_PT1H_MAX,-2.2
2022-12-01T14:00:00Z,TA_PT1H_MIN,-2.3
2022-12-01T14:00:00Z,RH_PT1H_AVG,95.0
2022-12-01T14:00:00Z,WS_PT1H_AVG,NaN
2022-12-01T14:00:00Z,WS_PT1H_MAX,NaN
